2018-11-14 18:10:46 (11093851331810) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-14 18:12:11 (11179266899224) STATS -  5.00, 621, 0, 0.224995, 3.318142, 4.179828, 3.010561, 0.000000, 5.349096, 780, 0, 2329, 0.00, 0.00, 9
2018-11-14 18:12:12 (11179799348223) STATS - SET, 22.4, 1
2018-11-14 18:12:12 (11179806271158) STATS - SET, 22.5, 0
2018-11-14 18:12:12 (11179806455164) STATS - SET, 22.6, 0
2018-11-14 18:12:12 (11179807203290) STATS - SET, 22.7, 0
2018-11-14 18:12:12 (11179807302193) STATS - SET, 22.8, 0
2018-11-14 18:12:12 (11179807395996) STATS - SET, 22.9, 0
2018-11-14 18:12:12 (11179807527401) STATS - SET, 23.0, 0
2018-11-14 18:12:12 (11179807641105) STATS - SET, 23.1, 0
2018-11-14 18:12:12 (11179807758809) STATS - SET, 23.2, 0
2018-11-14 18:12:12 (11179807882013) STATS - SET, 23.3, 0
2018-11-14 18:12:12 (11179807970016) STATS - SET, 23.4, 0
2018-11-14 18:12:12 (11179808095320) STATS - SET, 23.5, 0
2018-11-14 18:12:12 (11179808200324) STATS - SET, 23.6, 0
2018-11-14 18:12:12 (11179808470433) STATS - SET, 23.7, 0
2018-11-14 18:12:12 (11179808578136) STATS - SET, 23.8, 0
2018-11-14 18:12:12 (11179808692240) STATS - SET, 23.9, 0
2018-11-14 18:12:12 (11179808855646) STATS - SET, 24.0, 0
2018-11-14 18:12:12 (11179809020351) STATS - SET, 24.1, 0
2018-11-14 18:12:12 (11179809131855) STATS - SET, 24.2, 0
2018-11-14 18:12:12 (11179809255459) STATS - SET, 24.3, 1
2018-11-14 18:12:12 (11179809350063) STATS - SET, 24.4, 0
2018-11-14 18:12:12 (11179809457666) STATS - SET, 24.5, 0
2018-11-14 18:12:12 (11179809568870) STATS - SET, 24.6, 0
2018-11-14 18:12:12 (11179815916186) STATS - SET, 24.7, 0
2018-11-14 18:12:12 (11179816078491) STATS - SET, 24.8, 0
2018-11-14 18:12:12 (11179816175395) STATS - SET, 24.9, 0
2018-11-14 18:12:12 (11179816263298) STATS - SET, 25.0, 0
2018-11-14 18:12:12 (11179816363801) STATS - SET, 25.1, 0
2018-11-14 18:12:12 (11179818596177) STATS - SET, 25.2, 0
2018-11-14 18:12:12 (11179818739482) STATS - SET, 25.3, 0
2018-11-14 18:12:12 (11179818845485) STATS - SET, 25.4, 0
2018-11-14 18:12:12 (11179818936288) STATS - SET, 25.5, 0
2018-11-14 18:12:12 (11179819054192) STATS - SET, 25.6, 0
2018-11-14 18:12:12 (11179819151896) STATS - SET, 25.7, 0
2018-11-14 18:12:12 (11179819248399) STATS - SET, 25.8, 0
2018-11-14 18:12:12 (11179819334002) STATS - SET, 25.9, 0
2018-11-14 18:12:12 (11179819425205) STATS - SET, 26.0, 0
2018-11-14 18:12:12 (11179819523608) STATS - SET, 26.1, 0
2018-11-14 18:12:12 (11179819624312) STATS - SET, 26.2, 0
2018-11-14 18:12:12 (11179819730815) STATS - SET, 26.3, 0
2018-11-14 18:12:12 (11179819815918) STATS - SET, 26.4, 0
2018-11-14 18:12:12 (11179819900821) STATS - SET, 26.5, 0
2018-11-14 18:12:12 (11179819989724) STATS - SET, 26.6, 0
2018-11-14 18:12:12 (11179820107728) STATS - SET, 26.7, 0
2018-11-14 18:12:12 (11179820206432) STATS - SET, 26.8, 0
2018-11-14 18:12:12 (11179820293735) STATS - SET, 26.9, 0
2018-11-14 18:12:12 (11179820375137) STATS - SET, 27.0, 0
2018-11-14 18:12:12 (11179820457540) STATS - SET, 27.1, 0
2018-11-14 18:12:12 (11179820540443) STATS - SET, 27.2, 0
2018-11-14 18:12:12 (11179825320105) STATS - SET, 27.3, 0
2018-11-14 18:12:12 (11179825433309) STATS - SET, 27.4, 0
2018-11-14 18:12:12 (11179825518412) STATS - SET, 27.5, 0
2018-11-14 18:12:12 (11179825599715) STATS - SET, 27.6, 0
2018-11-14 18:12:12 (11179825679818) STATS - SET, 27.7, 0
2018-11-14 18:12:12 (11179825818222) STATS - SET, 27.8, 1
2018-11-14 18:12:12 (11179825931726) STATS - SET, 27.9, 0
2018-11-14 18:12:12 (11179826013029) STATS - SET, 28.0, 0
2018-11-14 18:12:12 (11179826127233) STATS - SET, 28.1, 0
2018-11-14 18:12:12 (11179826212336) STATS - SET, 28.2, 0
2018-11-14 18:12:12 (11179826325740) STATS - SET, 28.3, 0
2018-11-14 18:12:12 (11179826412243) STATS - SET, 28.4, 0
2018-11-14 18:12:12 (11179826496845) STATS - SET, 28.5, 0
2018-11-14 18:12:12 (11179826579848) STATS - SET, 28.6, 0
2018-11-14 18:12:12 (11179826662751) STATS - SET, 28.7, 0
2018-11-14 18:12:12 (11179826745554) STATS - SET, 28.8, 0
2018-11-14 18:12:12 (11179826832157) STATS - SET, 28.9, 0
2018-11-14 18:12:12 (11179826912860) STATS - SET, 29.0, 0
2018-11-14 18:12:12 (11179827007963) STATS - SET, 29.1, 0
2018-11-14 18:12:12 (11179827091666) STATS - SET, 29.2, 0
2018-11-14 18:12:12 (11179827174668) STATS - SET, 29.3, 0
2018-11-14 18:12:12 (11179827279572) STATS - SET, 29.4, 0
2018-11-14 18:12:12 (11179827361375) STATS - SET, 29.5, 0
2018-11-14 18:12:12 (11179827445778) STATS - SET, 29.6, 0
2018-11-14 18:12:12 (11179827527180) STATS - SET, 29.7, 0
2018-11-14 18:12:12 (11179827621684) STATS - SET, 29.8, 0
2018-11-14 18:12:12 (11179827713687) STATS - SET, 29.9, 1
2018-11-14 18:12:12 (11179827795790) STATS - SET, 30.0, 0
2018-11-14 18:12:12 (11179827886793) STATS - SET, 30.1, 0
