Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 34.5, 6
SET, 34.6, 9
SET, 34.7, 8
SET, 34.8, 11
SET, 34.9, 11
SET, 35.0, 14
SET, 35.1, 11
SET, 35.2, 9
SET, 35.3, 8
SET, 35.4, 16
SET, 35.5, 13
SET, 35.6, 7
SET, 35.7, 14
SET, 35.8, 12
SET, 35.9, 15
SET, 36.0, 18
SET, 36.1, 21
SET, 36.2, 11
SET, 36.3, 11
SET, 36.4, 19
SET, 36.5, 15
SET, 36.6, 14
SET, 36.7, 7
SET, 36.8, 15
SET, 36.9, 9
SET, 37.0, 11
SET, 37.1, 18
SET, 37.2, 18
SET, 37.3, 14
SET, 37.4, 25
SET, 37.5, 14
SET, 37.6, 17
SET, 37.7, 16
SET, 37.8, 15
SET, 37.9, 9
SET, 38.0, 10
SET, 38.1, 11
SET, 38.2, 16
SET, 38.3, 6
SET, 38.4, 12
SET, 38.5, 8
SET, 38.6, 10
SET, 38.7, 15
SET, 38.8, 11
SET, 38.9, 15
SET, 39.0, 11
SET, 39.1, 10
SET, 39.2, 14
SET, 39.3, 9
SET, 39.4, 9
SET, 39.5, 13
SET, 39.6, 9
SET, 39.7, 9
SET, 39.8, 14
SET, 39.9, 15
SET, 40.0, 12
SET, 40.1, 12
SET, 40.2, 8
SET, 40.3, 12
SET, 40.4, 8
SET, 40.5, 8
SET, 40.6, 11
SET, 40.7, 8
SET, 40.8, 16
SET, 40.9, 14
SET, 41.0, 9
SET, 41.1, 4
SET, 41.2, 9
SET, 41.3, 10
SET, 41.4, 15
SET, 41.5, 6
SET, 41.6, 15
SET, 41.7, 11
SET, 41.8, 16
SET, 41.9, 10
SET, 42.0, 17
SET, 42.1, 14
SET, 42.2, 11
SET, 42.3, 16
SET, 42.4, 19
SET, 42.5, 26
SET, 42.6, 25
SET, 42.7, 16
SET, 42.8, 18
SET, 42.9, 12
SET, 43.0, 6
SET, 43.1, 8
SET, 43.2, 11
SET, 43.3, 11
SET, 43.4, 7
SET, 43.5, 3
SET, 43.6, 4
SET, 43.7, 6
SET, 43.8, 11
SET, 43.9, 9
SET, 44.0, 13
SET, 44.1, 10
SET, 44.2, 9
SET, 44.3, 6
SET, 44.4, 7
SET, 44.5, 12
SET, 44.6, 18
SET, 44.7, 12
SET, 44.8, 13
SET, 44.9, 10
SET, 45.0, 11
SET, 45.1, 9
SET, 45.2, 10
SET, 45.3, 7
SET, 45.4, 7
SET, 45.5, 5
SET, 45.6, 4
SET, 45.7, 8
SET, 45.8, 3
SET, 45.9, 6
SET, 46.0, 5
SET, 46.1, 4
SET, 46.2, 8
SET, 46.3, 4
SET, 46.4, 8
SET, 46.5, 4
SET, 46.6, 14
SET, 46.7, 8
SET, 46.8, 5
SET, 46.9, 14
SET, 47.0, 7
SET, 47.1, 13
SET, 47.2, 9
SET, 47.3, 12
SET, 47.4, 12
SET, 47.5, 12
SET, 47.6, 6
SET, 47.7, 9
SET, 47.8, 4
SET, 47.9, 9
SET, 48.0, 6
SET, 48.1, 3
SET, 48.2, 2
SET, 48.3, 5
SET, 48.4, 12
SET, 48.5, 8
SET, 48.6, 12
SET, 48.7, 9
SET, 48.8, 10
SET, 48.9, 9
SET, 49.0, 16
SET, 49.1, 7
SET, 49.2, 9
SET, 49.3, 7
SET, 49.4, 12
SET, 49.5, 9
SET, 49.6, 13
SET, 49.7, 10
SET, 49.8, 9
SET, 49.9, 7
SET, 50.0, 7
SET, 50.1, 7
SET, 50.2, 10
SET, 50.3, 3
SET, 50.4, 5
SET, 50.5, 4
SET, 50.6, 7
SET, 50.7, 7
SET, 50.8, 7
SET, 50.9, 3
SET, 51.0, 9
SET, 51.1, 6
SET, 51.2, 10
SET, 51.3, 7
SET, 51.4, 3
SET, 51.5, 3
SET, 51.6, 3
SET, 51.7, 8
SET, 51.8, 7
SET, 51.9, 4
SET, 52.0, 10
SET, 52.1, 9
SET, 52.2, 11
SET, 52.3, 6
SET, 52.4, 5
SET, 52.5, 7
SET, 52.6, 7
SET, 52.7, 3
SET, 52.8, 10
SET, 52.9, 5
SET, 53.0, 10
SET, 53.1, 6
SET, 53.2, 6
SET, 53.3, 10
SET, 53.4, 9
SET, 53.5, 4
SET, 53.6, 6
SET, 53.7, 4
SET, 53.8, 8
SET, 53.9, 6
SET, 54.0, 7
SET, 54.1, 13
SET, 54.2, 11
SET, 54.3, 14
SET, 54.4, 8
SET, 54.5, 8
SET, 54.6, 5
SET, 54.7, 10
SET, 54.8, 6
SET, 54.9, 13
SET, 55.0, 2
SET, 55.1, 5
SET, 55.2, 8
SET, 55.3, 5
SET, 55.4, 1
SET, 55.5, 3
SET, 55.6, 2
SET, 55.7, 4
SET, 55.8, 4
SET, 55.9, 0
SET, 56.0, 3
SET, 56.1, 1
SET, 56.2, 3
SET, 56.3, 2
SET, 56.4, 5
SET, 56.5, 4
SET, 56.6, 6
SET, 56.7, 3
SET, 56.8, 5
SET, 56.9, 2
SET, 57.0, 7
SET, 57.1, 3
SET, 57.2, 7
SET, 57.3, 6
SET, 57.4, 2
SET, 57.5, 2
SET, 57.6, 0
SET, 57.7, 3
SET, 57.8, 0
SET, 57.9, 1
SET, 58.0, 6
