Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 59.0, 19
SET, 59.1, 10
SET, 59.2, 10
SET, 59.3, 14
SET, 59.4, 9
SET, 59.5, 17
SET, 59.6, 11
SET, 59.7, 21
SET, 59.8, 20
SET, 59.9, 15
SET, 60.0, 24
SET, 60.1, 16
SET, 60.2, 12
SET, 60.3, 14
SET, 60.4, 18
SET, 60.5, 19
SET, 60.6, 23
SET, 60.7, 15
SET, 60.8, 18
SET, 60.9, 20
SET, 61.0, 14
SET, 61.1, 12
SET, 61.2, 13
SET, 61.3, 25
SET, 61.4, 11
SET, 61.5, 18
SET, 61.6, 22
SET, 61.7, 20
SET, 61.8, 14
SET, 61.9, 11
SET, 62.0, 14
SET, 62.1, 16
SET, 62.2, 14
SET, 62.3, 12
SET, 62.4, 10
SET, 62.5, 14
SET, 62.6, 11
SET, 62.7, 10
SET, 62.8, 18
SET, 62.9, 10
SET, 63.0, 14
SET, 63.1, 4
SET, 63.2, 6
SET, 63.3, 6
SET, 63.4, 8
SET, 63.5, 8
SET, 63.6, 11
SET, 63.7, 12
SET, 63.8, 13
SET, 63.9, 4
SET, 64.0, 10
SET, 64.1, 8
SET, 64.2, 9
SET, 64.3, 6
SET, 64.4, 15
SET, 64.5, 4
SET, 64.6, 5
SET, 64.7, 4
SET, 64.8, 5
SET, 64.9, 7
SET, 65.0, 5
SET, 65.1, 13
SET, 65.2, 10
SET, 65.3, 9
SET, 65.4, 16
SET, 65.5, 9
SET, 65.6, 8
SET, 65.7, 11
SET, 65.8, 9
SET, 65.9, 13
SET, 66.0, 11
SET, 66.1, 8
SET, 66.2, 8
SET, 66.3, 11
SET, 66.4, 11
SET, 66.5, 6
SET, 66.6, 15
SET, 66.7, 13
SET, 66.8, 13
SET, 66.9, 15
SET, 67.0, 13
SET, 67.1, 12
SET, 67.2, 15
SET, 67.3, 16
SET, 67.4, 18
SET, 67.5, 16
SET, 67.6, 18
SET, 67.7, 21
SET, 67.8, 19
SET, 67.9, 15
SET, 68.0, 14
SET, 68.1, 15
SET, 68.2, 13
SET, 68.3, 10
SET, 68.4, 9
SET, 68.5, 12
SET, 68.6, 12
SET, 68.7, 8
SET, 68.8, 10
SET, 68.9, 6
SET, 69.0, 11
SET, 69.1, 5
SET, 69.2, 2
SET, 69.3, 6
SET, 69.4, 2
SET, 69.5, 4
SET, 69.6, 0
SET, 69.7, 3
SET, 69.8, 2
SET, 69.9, 7
SET, 70.0, 7
SET, 70.1, 6
SET, 70.2, 3
SET, 70.3, 13
SET, 70.4, 12
SET, 70.5, 10
SET, 70.6, 5
SET, 70.7, 7
SET, 70.8, 5
SET, 70.9, 14
SET, 71.0, 9
SET, 71.1, 10
SET, 71.2, 6
SET, 71.3, 7
SET, 71.4, 2
SET, 71.5, 5
SET, 71.6, 3
SET, 71.7, 10
SET, 71.8, 5
SET, 71.9, 5
SET, 72.0, 1
SET, 72.1, 7
SET, 72.2, 11
SET, 72.3, 9
SET, 72.4, 9
SET, 72.5, 9
SET, 72.6, 11
SET, 72.7, 13
SET, 72.8, 10
SET, 72.9, 11
SET, 73.0, 7
SET, 73.1, 11
SET, 73.2, 8
SET, 73.3, 10
SET, 73.4, 11
SET, 73.5, 9
SET, 73.6, 18
SET, 73.7, 13
SET, 73.8, 15
SET, 73.9, 14
SET, 74.0, 12
SET, 74.1, 18
SET, 74.2, 8
SET, 74.3, 8
SET, 74.4, 10
SET, 74.5, 9
SET, 74.6, 7
SET, 74.7, 7
SET, 74.8, 9
SET, 74.9, 4
SET, 75.0, 3
SET, 75.1, 4
SET, 75.2, 5
SET, 75.3, 3
SET, 75.4, 2
SET, 75.5, 1
SET, 75.6, 5
SET, 75.7, 4
SET, 75.8, 3
SET, 75.9, 2
SET, 76.0, 5
SET, 76.1, 3
SET, 76.2, 4
SET, 76.3, 5
SET, 76.4, 2
SET, 76.5, 1
SET, 76.6, 3
SET, 76.7, 3
SET, 76.8, 5
SET, 76.9, 4
SET, 77.0, 8
SET, 77.1, 9
SET, 77.2, 8
SET, 77.3, 2
SET, 77.4, 3
SET, 77.5, 4
SET, 77.6, 1
SET, 77.7, 5
SET, 77.8, 3
SET, 77.9, 2
SET, 78.0, 5
SET, 78.1, 3
SET, 78.2, 2
SET, 78.3, 1
SET, 78.4, 3
SET, 78.5, 4
SET, 78.6, 0
SET, 78.7, 2
SET, 78.8, 2
SET, 78.9, 4
SET, 79.0, 4
SET, 79.1, 5
SET, 79.2, 6
SET, 79.3, 2
SET, 79.4, 1
SET, 79.5, 2
SET, 79.6, 5
SET, 79.7, 1
SET, 79.8, 2
SET, 79.9, 3
SET, 80.0, 11
SET, 80.1, 7
SET, 80.2, 7
SET, 80.3, 2
SET, 80.4, 10
SET, 80.5, 8
SET, 80.6, 9
SET, 80.7, 12
SET, 80.8, 18
SET, 80.9, 12
SET, 81.0, 6
SET, 81.1, 7
SET, 81.2, 9
SET, 81.3, 1
SET, 81.4, 1
SET, 81.5, 4
SET, 81.6, 4
SET, 81.7, 1
SET, 81.8, 2
SET, 81.9, 7
SET, 82.0, 9
SET, 82.1, 6
SET, 82.2, 3
SET, 82.3, 10
SET, 82.4, 3
SET, 82.5, 3
SET, 82.6, 3
SET, 82.7, 0
SET, 82.8, 1
SET, 82.9, 1
SET, 83.0, 0
SET, 83.1, 1
SET, 83.2, 2
SET, 83.3, 1
SET, 83.4, 0
SET, 83.5, 0
SET, 83.6, 0
SET, 83.7, 2
SET, 83.8, 0
SET, 83.9, 4
SET, 84.0, 0
SET, 84.1, 0
SET, 84.2, 1
SET, 84.3, 0
SET, 84.4, 1
SET, 84.5, 0
SET, 84.6, 0
SET, 84.7, 0
SET, 84.8, 0
SET, 84.9, 0
SET, 85.0, 0
SET, 85.1, 1
SET, 85.2, 0
SET, 85.3, 0
SET, 85.4, 0
SET, 85.5, 1
SET, 85.6, 3
SET, 85.7, 0
SET, 85.8, 2
SET, 85.9, 1
SET, 86.0, 2
SET, 86.1, 0
SET, 86.2, 0
SET, 86.3, 1
SET, 86.4, 1
SET, 86.5, 1
SET, 86.6, 0
SET, 86.7, 0
SET, 86.8, 0
SET, 86.9, 1
SET, 87.0, 0
SET, 87.1, 1
SET, 87.2, 0
SET, 87.3, 0
SET, 87.4, 1
SET, 87.5, 1
SET, 87.6, 0
SET, 87.7, 0
SET, 87.8, 0
SET, 87.9, 0
SET, 88.0, 0
SET, 88.1, 0
SET, 88.2, 1
SET, 88.3, 0
SET, 88.4, 0
SET, 88.5, 0
SET, 88.6, 0
SET, 88.7, 0
SET, 88.8, 1
SET, 88.9, 3
SET, 89.0, 0
SET, 89.1, 0
SET, 89.2, 1
SET, 89.3, 0
SET, 89.4, 2
SET, 89.5, 0
SET, 89.6, 0
SET, 89.7, 0
SET, 89.8, 0
SET, 89.9, 0
SET, 90.0, 0
SET, 90.1, 0
SET, 90.2, 0
SET, 90.3, 0
SET, 90.4, 0
SET, 90.5, 1
SET, 90.6, 0
SET, 90.7, 0
SET, 90.8, 0
SET, 90.9, 2
SET, 91.0, 0
SET, 91.1, 0
SET, 91.2, 0
SET, 91.3, 0
SET, 91.4, 0
SET, 91.5, 1
SET, 91.6, 0
SET, 91.7, 0
SET, 91.8, 0
SET, 91.9, 0
SET, 92.0, 0
SET, 92.1, 0
SET, 92.2, 0
SET, 92.3, 0
SET, 92.4, 0
SET, 92.5, 0
SET, 92.6, 0
SET, 92.7, 1
SET, 92.8, 0
SET, 92.9, 0
SET, 93.0, 0
SET, 93.1, 0
SET, 93.2, 0
SET, 93.3, 0
SET, 93.4, 0
SET, 93.5, 0
SET, 93.6, 0
SET, 93.7, 0
SET, 93.8, 0
SET, 93.9, 0
SET, 94.0, 0
SET, 94.1, 0
SET, 94.2, 0
SET, 94.3, 0
SET, 94.4, 0
SET, 94.5, 0
SET, 94.6, 0
SET, 94.7, 0
SET, 94.8, 0
SET, 94.9, 0
SET, 95.0, 0
SET, 95.1, 0
SET, 95.2, 0
SET, 95.3, 0
SET, 95.4, 0
SET, 95.5, 0
SET, 95.6, 0
SET, 95.7, 0
SET, 95.8, 1
SET, 95.9, 0
SET, 96.0, 0
SET, 96.1, 0
SET, 96.2, 0
SET, 96.3, 0
SET, 96.4, 0
SET, 96.5, 0
SET, 96.6, 0
SET, 96.7, 0
SET, 96.8, 0
SET, 96.9, 0
SET, 97.0, 0
SET, 97.1, 0
SET, 97.2, 0
SET, 97.3, 0
SET, 97.4, 0
SET, 97.5, 0
SET, 97.6, 0
SET, 97.7, 0
SET, 97.8, 0
SET, 97.9, 0
SET, 98.0, 0
SET, 98.1, 1
SET, 98.2, 1
SET, 98.3, 2
SET, 98.4, 0
SET, 98.5, 0
SET, 98.6, 2
SET, 98.7, 3
SET, 98.8, 1
SET, 98.9, 0
SET, 99.0, 2
SET, 99.1, 1
SET, 99.2, 0
SET, 99.3, 0
SET, 99.4, 0
SET, 99.5, 0
SET, 99.6, 0
SET, 99.7, 0
SET, 99.8, 0
SET, 99.9, 0
SET, 100.0, 0
SET, 100.1, 0
SET, 100.2, 0
SET, 100.3, 0
SET, 100.4, 0
SET, 100.5, 1
SET, 100.6, 0
SET, 100.7, 0
SET, 100.8, 0
SET, 100.9, 0
SET, 101.0, 0
SET, 101.1, 0
SET, 101.2, 0
SET, 101.3, 0
SET, 101.4, 0
SET, 101.5, 0
SET, 101.6, 0
SET, 101.7, 0
SET, 101.8, 0
SET, 101.9, 0
SET, 102.0, 1
SET, 102.1, 0
SET, 102.2, 0
SET, 102.3, 1
SET, 102.4, 0
SET, 102.5, 0
SET, 102.6, 1
SET, 102.7, 0
SET, 102.8, 1
SET, 102.9, 2
SET, 103.0, 5
SET, 103.1, 1
SET, 103.2, 2
