2018-11-20 14:40:20 (3096158428105) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:41:45 (3181554802338) STATS -  5.00, 3782, 76, 19.699389, 1.788661, 21.577400, 21.577400, 0.000000, 0.000000, 18913, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:47 (3183412755227) STATS - SET, 12.7, 2263
2018-11-20 14:41:47 (3183412823027) STATS - SET, 12.8, 2292
2018-11-20 14:41:47 (3183412886527) STATS - SET, 12.9, 2212
2018-11-20 14:41:47 (3183412946727) STATS - SET, 13.0, 2329
2018-11-20 14:41:47 (3183413008827) STATS - SET, 13.1, 2272
2018-11-20 14:41:47 (3183413119127) STATS - SET, 13.2, 2329
2018-11-20 14:41:47 (3183413201527) STATS - SET, 13.3, 2507
2018-11-20 14:41:47 (3183413283527) STATS - SET, 13.4, 2571
2018-11-20 14:41:47 (3183413354927) STATS - SET, 13.5, 2673
2018-11-20 14:41:47 (3183413436127) STATS - SET, 13.6, 2710
2018-11-20 14:41:47 (3183413525427) STATS - SET, 13.7, 2669
2018-11-20 14:41:47 (3183413589027) STATS - SET, 13.8, 2873
2018-11-20 14:41:47 (3183413650727) STATS - SET, 13.9, 2904
2018-11-20 14:41:47 (3183413709827) STATS - SET, 14.0, 2839
2018-11-20 14:41:47 (3183413774227) STATS - SET, 14.1, 3072
2018-11-20 14:41:47 (3183413836527) STATS - SET, 14.2, 3093
2018-11-20 14:41:47 (3183413897327) STATS - SET, 14.3, 3113
2018-11-20 14:41:47 (3183413958027) STATS - SET, 14.4, 3141
2018-11-20 14:41:47 (3183414019527) STATS - SET, 14.5, 3335
2018-11-20 14:41:47 (3183414080727) STATS - SET, 14.6, 3407
2018-11-20 14:41:47 (3183414141427) STATS - SET, 14.7, 3430
2018-11-20 14:41:47 (3183414202227) STATS - SET, 14.8, 3464
2018-11-20 14:41:47 (3183414263727) STATS - SET, 14.9, 3663
2018-11-20 14:41:47 (3183414322927) STATS - SET, 15.0, 3674
2018-11-20 14:41:47 (3183414409127) STATS - SET, 15.1, 3728
2018-11-20 14:41:47 (3183414499327) STATS - SET, 15.2, 3949
2018-11-20 14:41:47 (3183414579727) STATS - SET, 15.3, 4063
2018-11-20 14:41:47 (3183414648927) STATS - SET, 15.4, 4269
2018-11-20 14:41:47 (3183421752827) STATS - SET, 15.5, 4405
2018-11-20 14:41:47 (3183421835127) STATS - SET, 15.6, 4275
2018-11-20 14:41:47 (3183421907227) STATS - SET, 15.7, 4398
2018-11-20 14:41:47 (3183421984927) STATS - SET, 15.8, 4523
2018-11-20 14:41:47 (3183422058327) STATS - SET, 15.9, 4733
2018-11-20 14:41:47 (3183422125727) STATS - SET, 16.0, 4777
2018-11-20 14:41:47 (3183422223127) STATS - SET, 16.1, 4748
2018-11-20 14:41:47 (3183422294627) STATS - SET, 16.2, 4741
2018-11-20 14:41:47 (3183422387027) STATS - SET, 16.3, 4857
2018-11-20 14:41:47 (3183422462827) STATS - SET, 16.4, 4683
2018-11-20 14:41:47 (3183422532427) STATS - SET, 16.5, 4897
2018-11-20 14:41:47 (3183422602727) STATS - SET, 16.6, 4916
2018-11-20 14:41:47 (3183422682027) STATS - SET, 16.7, 4865
2018-11-20 14:41:47 (3183422806327) STATS - SET, 16.8, 4657
2018-11-20 14:41:47 (3183422868927) STATS - SET, 16.9, 4481
2018-11-20 14:41:47 (3183422932127) STATS - SET, 17.0, 4360
2018-11-20 14:41:47 (3183422995127) STATS - SET, 17.1, 4352
2018-11-20 14:41:47 (3183423057527) STATS - SET, 17.2, 4355
2018-11-20 14:41:47 (3183423117127) STATS - SET, 17.3, 4254
2018-11-20 14:41:47 (3183423177027) STATS - SET, 17.4, 4345
2018-11-20 14:41:47 (3183423236928) STATS - SET, 17.5, 4161
2018-11-20 14:41:47 (3183423356928) STATS - SET, 17.6, 4135
2018-11-20 14:41:47 (3183423447928) STATS - SET, 17.7, 3900
2018-11-20 14:41:47 (3183423515028) STATS - SET, 17.8, 3623
2018-11-20 14:41:47 (3183423582528) STATS - SET, 17.9, 3481
2018-11-20 14:41:47 (3183423647128) STATS - SET, 18.0, 3461
2018-11-20 14:41:47 (3183423713128) STATS - SET, 18.1, 3119
2018-11-20 14:41:47 (3183423815028) STATS - SET, 18.2, 3001
2018-11-20 14:41:47 (3183423874828) STATS - SET, 18.3, 3030
2018-11-20 14:41:47 (3183423934028) STATS - SET, 18.4, 2846
2018-11-20 14:41:47 (3183423993628) STATS - SET, 18.5, 2680
2018-11-20 14:41:47 (3183424091728) STATS - SET, 18.6, 2450
2018-11-20 14:41:47 (3183424245328) STATS - SET, 18.7, 2523
2018-11-20 14:41:47 (3183424341528) STATS - SET, 18.8, 2330
2018-11-20 14:41:47 (3183424492828) STATS - SET, 18.9, 2246
2018-11-20 14:41:47 (3183424565228) STATS - SET, 19.0, 2235
2018-11-20 14:41:47 (3183431625628) STATS - SET, 19.1, 2101
2018-11-20 14:41:47 (3183431767628) STATS - SET, 19.2, 2063
2018-11-20 14:41:47 (3183431833528) STATS - SET, 19.3, 2004
2018-11-20 14:41:47 (3183431892928) STATS - SET, 19.4, 1887
2018-11-20 14:41:47 (3183431950028) STATS - SET, 19.5, 1834
2018-11-20 14:41:47 (3183432023628) STATS - SET, 19.6, 1867
2018-11-20 14:41:47 (3183432084628) STATS - SET, 19.7, 1785
2018-11-20 14:41:47 (3183432141328) STATS - SET, 19.8, 1733
2018-11-20 14:41:47 (3183432197728) STATS - SET, 19.9, 1501
2018-11-20 14:41:47 (3183432251728) STATS - SET, 20.0, 1425
2018-11-20 14:41:47 (3183432306828) STATS - SET, 20.1, 1409
2018-11-20 14:41:47 (3183432363128) STATS - SET, 20.2, 1369
2018-11-20 14:41:47 (3183432418928) STATS - SET, 20.3, 1296
2018-11-20 14:41:47 (3183432475128) STATS - SET, 20.4, 1302
2018-11-20 14:41:47 (3183432530728) STATS - SET, 20.5, 1184
2018-11-20 14:41:47 (3183432586428) STATS - SET, 20.6, 1080
2018-11-20 14:41:47 (3183432642628) STATS - SET, 20.7, 1090
2018-11-20 14:41:47 (3183432698428) STATS - SET, 20.8, 1101
2018-11-20 14:41:47 (3183432754228) STATS - SET, 20.9, 1078
2018-11-20 14:41:47 (3183432807128) STATS - SET, 21.0, 1089
2018-11-20 14:41:47 (3183432861428) STATS - SET, 21.1, 1049
2018-11-20 14:41:47 (3183433091128) STATS - SET, 21.2, 1014
2018-11-20 14:41:47 (3183433190528) STATS - SET, 21.3, 1043
2018-11-20 14:41:47 (3183433275728) STATS - SET, 21.4, 930
2018-11-20 14:41:47 (3183433353328) STATS - SET, 21.5, 913
2018-11-20 14:41:47 (3183433439328) STATS - SET, 21.6, 867
2018-11-20 14:41:47 (3183433507128) STATS - SET, 21.7, 887
2018-11-20 14:41:47 (3183433570128) STATS - SET, 21.8, 899
2018-11-20 14:41:47 (3183433632828) STATS - SET, 21.9, 866
2018-11-20 14:41:47 (3183433716428) STATS - SET, 22.0, 794
2018-11-20 14:41:47 (3183434832928) STATS - SET, 22.1, 831
2018-11-20 14:41:47 (3183434937928) STATS - SET, 22.2, 868
2018-11-20 14:41:47 (3183435010028) STATS - SET, 22.3, 871
2018-11-20 14:41:47 (3183435077928) STATS - SET, 22.4, 821
2018-11-20 14:41:47 (3183435143328) STATS - SET, 22.5, 754
2018-11-20 14:41:47 (3183435244628) STATS - SET, 22.6, 736
2018-11-20 14:41:47 (3183435302928) STATS - SET, 22.7, 667
2018-11-20 14:41:47 (3183435358628) STATS - SET, 22.8, 715
2018-11-20 14:41:47 (3183441523328) STATS - SET, 22.9, 647
2018-11-20 14:41:47 (3183441593128) STATS - SET, 23.0, 664
2018-11-20 14:41:47 (3183441650228) STATS - SET, 23.1, 629
2018-11-20 14:41:47 (3183441704928) STATS - SET, 23.2, 655
2018-11-20 14:41:47 (3183441804128) STATS - SET, 23.3, 636
