ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms)
1:0,32,1,2,1,1,633.64,3.1512000000000002
1:0,32,1,2,2,1,686.92,2.9059999999999997
1:0,32,1,2,3,1,693.72,2.8768000000000002
1:0,32,1,3,1,1,658.26,3.033800000000001
1:0,32,1,3,2,1,710.7,2.811999999999999
1:0,32,1,3,3,1,715.7,2.789400000000001
1:0,32,4,1,1,1,1841.46,4.3924
1:0,32,4,1,2,1,1971.72,4.053599999999999
1:0,32,4,1,3,1,1806.12,4.419799999999999
1:0,32,4,2,1,1,1899.1,4.2194
1:0,32,4,2,2,1,2035.98,3.9360000000000004
1:0,32,4,2,3,1,1872.6,4.280400000000001
1:0,32,4,3,1,1,1873.64,4.280800000000001
1:0,32,4,3,2,1,1976.02,4.058600000000001
1:0,32,4,3,3,1,1853.98,4.3268
1:0,32,8,1,1,1,2635.3,6.080200000000001
1:0,32,8,1,2,1,2728.58,5.868199999999999
1:0,32,8,1,3,1,2727.32,5.8764
1:0,32,8,2,1,1,2578.74,6.208199999999998
1:0,32,8,2,2,1,2660.18,6.019800000000001
1:0,32,8,2,3,1,2653.26,6.0344
1:0,32,8,3,1,1,2504.12,6.785999999999998
1:0,32,8,3,2,1,2576.68,6.5856
1:0,32,8,3,3,1,2590.5,6.524000000000001
1:0,32,16,1,1,1,2988.64,10.714800000000004
1:0,32,16,1,2,1,3126.14,10.239600000000001
1:0,32,16,1,3,1,3079.68,10.394799999999998
1:0,32,16,2,1,1,3016.7,10.6154
1:0,32,16,2,2,1,3149.36,10.170800000000003
1:0,32,16,2,3,1,3115.78,10.278399999999998
1:0,32,16,3,1,1,3092.02,10.354
1:0,32,16,3,2,1,3172.8,10.089599999999997
1:0,32,16,3,3,1,3247.32,9.857800000000001
1:0,32,24,1,1,1,3482.62,13.787600000000003
1:0,32,24,1,2,1,3387.02,14.178199999999997
1:0,32,24,1,3,1,3389.8,14.163400000000001
1:0,32,24,2,1,1,3286.8,14.6222
1:0,32,24,2,2,1,3286.88,14.621799999999999
1:0,32,24,2,3,1,3241.7,14.828
1:0,32,24,3,1,1,3694.92,13.203200000000002
1:0,32,24,3,2,1,2715.48,13.085000000000004
1:0,32,24,3,3,1,2940.94,13.068200000000001
1:0,32,32,1,1,1,3314.26,18.716200000000004
1:0,32,32,1,2,1,3375.46,18.968599999999995
1:0,32,32,1,3,1,3384.14,18.919799999999995
1:0,32,32,2,1,1,3317.5,19.2992
1:0,32,32,2,2,1,3281.22,19.829
1:0,32,32,2,3,1,3348.76,19.3424
1:0,32,32,3,1,1,3303.14,18.1858
1:0,32,32,3,2,1,3181.0,18.252999999999997
1:0,32,32,3,3,1,3532.96,18.1384
1:0,64,1,1,1,1,642.54,3.1079999999999988
1:0,64,1,1,2,1,697.2,2.8680000000000008
1:0,64,1,1,3,1,698.66,2.8614000000000006
1:0,64,1,2,1,1,634.6,3.1478
1:0,64,1,2,2,1,695.72,2.873400000000001
1:0,64,1,2,3,1,688.08,2.904000000000001
1:0,64,1,3,1,1,644.74,3.276400000000001
1:0,64,1,3,2,1,678.5,3.194799999999999
1:0,64,1,3,3,1,689.06,3.144000000000001
1:0,64,4,1,1,1,1770.14,4.5443999999999996
1:0,64,4,1,2,1,1891.78,4.26
1:0,64,4,1,3,1,1947.34,4.14
1:0,64,4,2,1,1,1765.76,4.705400000000001
1:0,64,4,2,2,1,1852.52,4.419
1:0,64,4,2,3,1,1925.5,4.348
1:0,64,4,3,1,1,1839.44,4.3584000000000005
1:0,64,4,3,2,1,1923.98,4.1701999999999995
1:0,64,4,3,3,1,2036.74,3.9387999999999987
1:0,64,8,1,1,1,2606.64,6.1452
1:0,64,8,1,2,1,2501.12,6.400999999999999
1:0,64,8,1,3,1,2543.22,6.296199999999999
1:0,64,8,2,1,1,2581.2,6.213599999999999
1:0,64,8,2,2,1,2496.56,6.425799999999999
1:0,64,8,2,3,1,2567.84,6.244599999999998
1:0,64,8,3,1,1,2596.56,6.173799999999999
1:0,64,8,3,2,1,2563.38,6.253799999999999
1:0,64,8,3,3,1,2508.6,6.391999999999999
1:0,64,16,1,1,1,3118.52,10.2712
1:0,64,16,1,2,1,3269.78,9.797399999999998
1:0,64,16,1,3,1,3180.62,10.071799999999998
1:0,64,16,2,1,1,2937.38,11.336000000000002
1:0,64,16,2,2,1,3098.34,10.774599999999998
1:0,64,16,2,3,1,3005.58,11.186200000000001
1:0,64,16,3,1,1,3118.36,10.270399999999997
1:0,64,16,3,2,1,3180.02,10.07
1:0,64,16,3,3,1,3300.92,9.704200000000002
1:0,64,24,1,1,1,3004.04,16.955600000000004
1:0,64,24,1,2,1,3086.68,16.359400000000008
1:0,64,24,1,3,1,3098.64,16.328400000000002
1:0,64,24,2,1,1,3260.88,14.732000000000005
1:0,64,24,2,2,1,3277.46,14.659599999999998
1:0,64,24,2,3,1,3339.28,14.391200000000001
1:0,64,24,3,1,1,3069.94,15.974800000000005
1:0,64,24,3,2,1,3087.74,15.860199999999995
1:0,64,24,3,3,1,3202.74,15.350599999999996
1:0,64,32,1,1,1,3186.62,17.5862
1:0,64,32,1,2,1,3668.84,16.9136
1:0,64,32,1,3,1,3772.5,16.978400000000004
1:0,64,32,2,1,1,3634.5,17.623400000000004
1:0,64,32,2,2,1,3707.68,17.273600000000002
1:0,64,32,2,3,1,3561.32,17.987000000000002
1:0,64,32,3,1,1,3425.02,18.771200000000004
1:0,64,32,3,2,1,3376.54,18.438599999999997
1:0,64,32,3,3,1,3367.14,19.091000000000005
