2018-11-12 16:00:36 (2903756941586) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-12 16:02:02 (2989908128211) STATS - 33.5, 0
2018-11-12 16:02:02 (2989908202413) STATS - 33.6, 1
2018-11-12 16:02:02 (2989908276415) STATS - 33.7, 1
2018-11-12 16:02:02 (2989908368017) STATS - 33.8, 0
2018-11-12 16:02:02 (2989908445019) STATS - 33.9, 0
2018-11-12 16:02:02 (2989908515921) STATS - 34.0, 1
2018-11-12 16:02:02 (2989911223495) STATS - 34.1, 1
2018-11-12 16:02:02 (2989911329698) STATS - 34.2, 2
2018-11-12 16:02:02 (2989911411801) STATS - 34.3, 1
2018-11-12 16:02:02 (2989911496403) STATS - 34.4, 2
2018-11-12 16:02:02 (2989911559305) STATS - 34.5, 2
2018-11-12 16:02:02 (2989911621306) STATS - 34.6, 2
2018-11-12 16:02:02 (2989911683808) STATS - 34.7, 0
2018-11-12 16:02:02 (2989911746710) STATS - 34.8, 2
2018-11-12 16:02:02 (2989911811412) STATS - 34.9, 0
2018-11-12 16:02:02 (2989911873513) STATS - 35.0, 1
2018-11-12 16:02:02 (2989911935315) STATS - 35.1, 2
2018-11-12 16:02:02 (2989911996817) STATS - 35.2, 4
2018-11-12 16:02:02 (2989912093719) STATS - 35.3, 0
2018-11-12 16:02:02 (2989912162421) STATS - 35.4, 2
2018-11-12 16:02:02 (2989912231823) STATS - 35.5, 1
2018-11-12 16:02:02 (2989912308225) STATS - 35.6, 0
2018-11-12 16:02:02 (2989912371127) STATS - 35.7, 0
2018-11-12 16:02:02 (2989912434929) STATS - 35.8, 1
2018-11-12 16:02:02 (2989912497330) STATS - 35.9, 0
2018-11-12 16:02:02 (2989912557032) STATS - 36.0, 3
2018-11-12 16:02:02 (2989912619834) STATS - 36.1, 0
2018-11-12 16:02:02 (2989912681535) STATS - 36.2, 2
2018-11-12 16:02:02 (2989912743437) STATS - 36.3, 2
2018-11-12 16:02:02 (2989912805439) STATS - 36.4, 0
2018-11-12 16:02:02 (2989912940843) STATS - 36.5, 0
2018-11-12 16:02:02 (2989913027345) STATS - 36.6, 2
2018-11-12 16:02:02 (2989913130348) STATS - 36.7, 0
2018-11-12 16:02:02 (2989913231051) STATS - 36.8, 0
2018-11-12 16:02:02 (2989913320253) STATS - 36.9, 0
2018-11-12 16:02:02 (2989913380155) STATS - 37.0, 0
2018-11-12 16:02:02 (2989913442456) STATS - 37.1, 0
2018-11-12 16:02:02 (2989913504858) STATS - 37.2, 1
2018-11-12 16:02:02 (2989913567360) STATS - 37.3, 2
2018-11-12 16:02:02 (2989913628961) STATS - 37.4, 1
2018-11-12 16:02:02 (2989913690663) STATS - 37.5, 0
2018-11-12 16:02:02 (2989913762865) STATS - 37.6, 0
2018-11-12 16:02:02 (2989920367146) STATS - 37.7, 0
2018-11-12 16:02:02 (2989920441548) STATS - 37.8, 0
2018-11-12 16:02:02 (2989920508350) STATS - 37.9, 2
2018-11-12 16:02:02 (2989920582552) STATS - 38.0, 1
2018-11-12 16:02:02 (2989920654154) STATS - 38.1, 0
2018-11-12 16:02:02 (2989920755057) STATS - 38.2, 0
2018-11-12 16:02:02 (2989920833659) STATS - 38.3, 1
