Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 66.2, 2
SET, 66.3, 1
SET, 66.4, 0
SET, 66.5, 2
SET, 66.6, 1
SET, 66.7, 0
SET, 66.8, 0
SET, 66.9, 0
SET, 67.0, 2
SET, 67.1, 1
SET, 67.2, 0
SET, 67.3, 1
SET, 67.4, 2
SET, 67.5, 2
SET, 67.6, 4
SET, 67.7, 2
SET, 67.8, 1
SET, 67.9, 2
SET, 68.0, 1
SET, 68.1, 0
SET, 68.2, 2
SET, 68.3, 2
SET, 68.4, 0
SET, 68.5, 0
SET, 68.6, 0
SET, 68.7, 1
SET, 68.8, 1
SET, 68.9, 1
SET, 69.0, 1
SET, 69.1, 0
SET, 69.2, 1
SET, 69.3, 1
SET, 69.4, 0
SET, 69.5, 0
SET, 69.6, 0
SET, 69.7, 0
SET, 69.8, 0
SET, 69.9, 0
SET, 70.0, 2
SET, 70.1, 1
SET, 70.2, 1
SET, 70.3, 4
SET, 70.4, 1
SET, 70.5, 4
SET, 70.6, 0
SET, 70.7, 3
SET, 70.8, 1
SET, 70.9, 1
SET, 71.0, 0
SET, 71.1, 2
SET, 71.2, 1
SET, 71.3, 0
SET, 71.4, 0
SET, 71.5, 0
SET, 71.6, 0
SET, 71.7, 0
SET, 71.8, 0
SET, 71.9, 1
SET, 72.0, 0
SET, 72.1, 0
SET, 72.2, 0
SET, 72.3, 0
SET, 72.4, 0
SET, 72.5, 0
SET, 72.6, 0
SET, 72.7, 0
SET, 72.8, 0
SET, 72.9, 0
SET, 73.0, 0
SET, 73.1, 0
SET, 73.2, 0
SET, 73.3, 0
SET, 73.4, 0
SET, 73.5, 0
SET, 73.6, 0
SET, 73.7, 0
SET, 73.8, 0
SET, 73.9, 0
SET, 74.0, 2
SET, 74.1, 1
SET, 74.2, 1
SET, 74.3, 0
SET, 74.4, 1
SET, 74.5, 1
SET, 74.6, 1
SET, 74.7, 0
SET, 74.8, 0
SET, 74.9, 1
SET, 75.0, 1
SET, 75.1, 0
