2018-11-23 21:03:50 (12262404884001) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-23 21:05:10 (12342977884691) STATS -  5.00, 2775, 2, 1.184091, 4.623557, 6.007181, 0.000000, 6.007181, 0.000000, 0, 13879, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12344297673470) STATS - GET, 11.5, 919
2018-11-23 21:05:11 (12344297774473) STATS - GET, 11.6, 921
2018-11-23 21:05:11 (12344297880377) STATS - GET, 11.7, 957
2018-11-23 21:05:11 (12344297980980) STATS - GET, 11.8, 934
2018-11-23 21:05:11 (12344298080184) STATS - GET, 11.9, 945
2018-11-23 21:05:11 (12344298178587) STATS - GET, 12.0, 973
2018-11-23 21:05:11 (12344298318292) STATS - GET, 12.1, 921
2018-11-23 21:05:11 (12344298421596) STATS - GET, 12.2, 1011
2018-11-23 21:05:11 (12344298524599) STATS - GET, 12.3, 973
2018-11-23 21:05:11 (12344298916713) STATS - GET, 12.4, 970
2018-11-23 21:05:11 (12344299030717) STATS - GET, 12.5, 1070
2018-11-23 21:05:11 (12344299129620) STATS - GET, 12.6, 1053
2018-11-23 21:05:11 (12344299239624) STATS - GET, 12.7, 1169
2018-11-23 21:05:11 (12344299347028) STATS - GET, 12.8, 1178
2018-11-23 21:05:11 (12344299447231) STATS - GET, 12.9, 1129
2018-11-23 21:05:11 (12344299542335) STATS - GET, 13.0, 1218
2018-11-23 21:05:11 (12344299639938) STATS - GET, 13.1, 1288
2018-11-23 21:05:11 (12344299783743) STATS - GET, 13.2, 1265
2018-11-23 21:05:11 (12344299890547) STATS - GET, 13.3, 1263
2018-11-23 21:05:11 (12344299990050) STATS - GET, 13.4, 1229
2018-11-23 21:05:11 (12344300131855) STATS - GET, 13.5, 1200
2018-11-23 21:05:11 (12344300231659) STATS - GET, 13.6, 1164
2018-11-23 21:05:11 (12344300335062) STATS - GET, 13.7, 1075
2018-11-23 21:05:11 (12344300477967) STATS - GET, 13.8, 1007
2018-11-23 21:05:11 (12344300576671) STATS - GET, 13.9, 875
2018-11-23 21:05:11 (12344300671374) STATS - GET, 14.0, 707
2018-11-23 21:05:11 (12344300774478) STATS - GET, 14.1, 662
2018-11-23 21:05:11 (12344300878781) STATS - GET, 14.2, 521
2018-11-23 21:05:11 (12344306554479) STATS - GET, 14.3, 451
2018-11-23 21:05:11 (12344306701484) STATS - GET, 14.4, 373
2018-11-23 21:05:11 (12344306816788) STATS - GET, 14.5, 341
2018-11-23 21:05:11 (12344306914692) STATS - GET, 14.6, 296
2018-11-23 21:05:11 (12344307010295) STATS - GET, 14.7, 272
2018-11-23 21:05:11 (12344307105698) STATS - GET, 14.8, 249
2018-11-23 21:05:11 (12344307201102) STATS - GET, 14.9, 186
2018-11-23 21:05:11 (12344307292805) STATS - GET, 15.0, 170
2018-11-23 21:05:11 (12344307387608) STATS - GET, 15.1, 136
2018-11-23 21:05:11 (12344307482411) STATS - GET, 15.2, 127
2018-11-23 21:05:11 (12344307576215) STATS - GET, 15.3, 120
2018-11-23 21:05:11 (12344307669818) STATS - GET, 15.4, 106
2018-11-23 21:05:11 (12344308120234) STATS - GET, 15.5, 95
2018-11-23 21:05:11 (12344308226837) STATS - GET, 15.6, 95
2018-11-23 21:05:11 (12344308324141) STATS - GET, 15.7, 112
2018-11-23 21:05:11 (12344308457945) STATS - GET, 15.8, 110
2018-11-23 21:05:11 (12344308560349) STATS - GET, 15.9, 132
2018-11-23 21:05:11 (12344308651652) STATS - GET, 16.0, 119
2018-11-23 21:05:11 (12344308744955) STATS - GET, 16.1, 146
2018-11-23 21:05:11 (12344308881560) STATS - GET, 16.2, 150
