2018-10-21 19:28:14 (15361716607299) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-10-21 19:29:37 (15444132566357) STATS - 15.8, 1
2018-10-21 19:29:37 (15444132716861) STATS - 15.9, 7
2018-10-21 19:29:37 (15444132883566) STATS - 16.0, 7
2018-10-21 19:29:37 (15444133091872) STATS - 16.1, 7
2018-10-21 19:29:37 (15444133261477) STATS - 16.2, 2
2018-10-21 19:29:37 (15444133442383) STATS - 16.3, 2
2018-10-21 19:29:37 (15444133614088) STATS - 16.4, 6
2018-10-21 19:29:37 (15444133821094) STATS - 16.5, 13
2018-10-21 19:29:37 (15444133994399) STATS - 16.6, 9
2018-10-21 19:29:37 (15444134216905) STATS - 16.7, 8
2018-10-21 19:29:37 (15444134449012) STATS - 16.8, 6
2018-10-21 19:29:37 (15444134622417) STATS - 16.9, 3
2018-10-21 19:29:37 (15444134818723) STATS - 17.0, 1
2018-10-21 19:29:37 (15444134984528) STATS - 17.1, 5
2018-10-21 19:29:37 (15444140977503) STATS - 17.2, 1
2018-10-21 19:29:37 (15444141299113) STATS - 17.3, 1
2018-10-21 19:29:37 (15444141476418) STATS - 17.4, 1
2018-10-21 19:29:37 (15444141657923) STATS - 17.5, 0
2018-10-21 19:29:37 (15444141839529) STATS - 17.6, 2
2018-10-21 19:29:37 (15444142008234) STATS - 17.7, 3
2018-10-21 19:29:37 (15444142172438) STATS - 17.8, 1
2018-10-21 19:29:37 (15444142316943) STATS - 17.9, 5
2018-10-21 19:29:37 (15444142478447) STATS - 18.0, 1
2018-10-21 19:29:37 (15444142625552) STATS - 18.1, 2
2018-10-21 19:29:37 (15444142813657) STATS - 18.2, 2
2018-10-21 19:29:37 (15444143025763) STATS - 18.3, 2
2018-10-21 19:29:37 (15444143194268) STATS - 18.4, 1
2018-10-21 19:29:37 (15444143358973) STATS - 18.5, 1
2018-10-21 19:29:37 (15444143527678) STATS - 18.6, 2
2018-10-21 19:29:37 (15444143693083) STATS - 18.7, 2
2018-10-21 19:29:37 (15444143897889) STATS - 18.8, 0
2018-10-21 19:29:37 (15444144096395) STATS - 18.9, 0
2018-10-21 19:29:37 (15444144259700) STATS - 19.0, 0
2018-10-21 19:29:37 (15444144430705) STATS - 19.1, 2
2018-10-21 19:29:37 (15444144597309) STATS - 19.2, 2
