2018-11-20 21:29:28 (1759372422177) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 21:30:53 (1843947727238) STATS -  5.00, 647, 0, 0.414409, 3.773454, 4.887193, 3.646756, 0.000000, 6.127630, 812, 0, 2426, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844312882233) STATS - SET, 18.5, 0
2018-11-20 21:30:53 (1844312973935) STATS - SET, 18.6, 0
2018-11-20 21:30:53 (1844313065737) STATS - SET, 18.7, 0
2018-11-20 21:30:53 (1844313180640) STATS - SET, 18.8, 1
2018-11-20 21:30:53 (1844313575049) STATS - SET, 18.9, 0
2018-11-20 21:30:53 (1844313665151) STATS - SET, 19.0, 0
2018-11-20 21:30:53 (1844313755253) STATS - SET, 19.1, 1
2018-11-20 21:30:53 (1844313850455) STATS - SET, 19.2, 0
2018-11-20 21:30:53 (1844313942057) STATS - SET, 19.3, 0
2018-11-20 21:30:53 (1844314032359) STATS - SET, 19.4, 0
2018-11-20 21:30:53 (1844314353466) STATS - SET, 19.5, 0
2018-11-20 21:30:53 (1844314452468) STATS - SET, 19.6, 0
2018-11-20 21:30:53 (1844314550570) STATS - SET, 19.7, 0
2018-11-20 21:30:53 (1844314640272) STATS - SET, 19.8, 0
2018-11-20 21:30:53 (1844314768575) STATS - SET, 19.9, 0
2018-11-20 21:30:53 (1844314863377) STATS - SET, 20.0, 0
2018-11-20 21:30:53 (1844320345099) STATS - SET, 20.1, 0
2018-11-20 21:30:53 (1844320442201) STATS - SET, 20.2, 0
2018-11-20 21:30:53 (1844320532703) STATS - SET, 20.3, 1
2018-11-20 21:30:53 (1844320622905) STATS - SET, 20.4, 0
2018-11-20 21:30:53 (1844320712107) STATS - SET, 20.5, 0
2018-11-20 21:30:53 (1844320801109) STATS - SET, 20.6, 0
2018-11-20 21:30:53 (1844320889711) STATS - SET, 20.7, 0
2018-11-20 21:30:53 (1844320978713) STATS - SET, 20.8, 0
2018-11-20 21:30:53 (1844321067615) STATS - SET, 20.9, 1
2018-11-20 21:30:53 (1844321286620) STATS - SET, 21.0, 0
2018-11-20 21:30:53 (1844321377722) STATS - SET, 21.1, 0
2018-11-20 21:30:53 (1844321510925) STATS - SET, 21.2, 1
2018-11-20 21:30:53 (1844321607327) STATS - SET, 21.3, 0
2018-11-20 21:30:53 (1844321731729) STATS - SET, 21.4, 0
2018-11-20 21:30:53 (1844321833732) STATS - SET, 21.5, 1
2018-11-20 21:30:53 (1844321924234) STATS - SET, 21.6, 0
2018-11-20 21:30:53 (1844322013836) STATS - SET, 21.7, 0
2018-11-20 21:30:53 (1844322102538) STATS - SET, 21.8, 0
2018-11-20 21:30:53 (1844322239641) STATS - SET, 21.9, 0
2018-11-20 21:30:53 (1844322332443) STATS - SET, 22.0, 0
2018-11-20 21:30:53 (1844322422845) STATS - SET, 22.1, 0
2018-11-20 21:30:53 (1844322585548) STATS - SET, 22.2, 0
2018-11-20 21:30:53 (1844322695251) STATS - SET, 22.3, 0
2018-11-20 21:30:53 (1844322788253) STATS - SET, 22.4, 0
2018-11-20 21:30:53 (1844322881055) STATS - SET, 22.5, 0
2018-11-20 21:30:53 (1844323006058) STATS - SET, 22.6, 0
2018-11-20 21:30:53 (1844323104760) STATS - SET, 22.7, 0
2018-11-20 21:30:53 (1844323263563) STATS - SET, 22.8, 0
2018-11-20 21:30:53 (1844323358165) STATS - SET, 22.9, 0
2018-11-20 21:30:53 (1844323444267) STATS - SET, 23.0, 0
2018-11-20 21:30:53 (1844323539370) STATS - SET, 23.1, 0
2018-11-20 21:30:53 (1844323627371) STATS - SET, 23.2, 0
2018-11-20 21:30:53 (1844323719974) STATS - SET, 23.3, 0
2018-11-20 21:30:53 (1844323813276) STATS - SET, 23.4, 0
2018-11-20 21:30:53 (1844323912078) STATS - SET, 23.5, 0
2018-11-20 21:30:53 (1844324031280) STATS - SET, 23.6, 0
2018-11-20 21:30:53 (1844324126283) STATS - SET, 23.7, 0
2018-11-20 21:30:53 (1844329627504) STATS - SET, 23.8, 0
2018-11-20 21:30:53 (1844329771908) STATS - SET, 23.9, 0
2018-11-20 21:30:53 (1844330004213) STATS - SET, 24.0, 0
2018-11-20 21:30:53 (1844330239018) STATS - SET, 24.1, 0
2018-11-20 21:30:53 (1844330330420) STATS - SET, 24.2, 0
2018-11-20 21:30:53 (1844330419822) STATS - SET, 24.3, 0
2018-11-20 21:30:53 (1844330508124) STATS - SET, 24.4, 0
2018-11-20 21:30:53 (1844330599926) STATS - SET, 24.5, 0
2018-11-20 21:30:53 (1844330689028) STATS - SET, 24.6, 2
2018-11-20 21:30:53 (1844330928933) STATS - SET, 24.7, 0
2018-11-20 21:30:53 (1844331027136) STATS - SET, 24.8, 0
2018-11-20 21:30:53 (1844331116538) STATS - SET, 24.9, 0
2018-11-20 21:30:53 (1844331202139) STATS - SET, 25.0, 0
2018-11-20 21:30:53 (1844331290041) STATS - SET, 25.1, 0
2018-11-20 21:30:53 (1844331377943) STATS - SET, 25.2, 0
2018-11-20 21:30:53 (1844331465945) STATS - SET, 25.3, 0
2018-11-20 21:30:53 (1844331553847) STATS - SET, 25.4, 0
2018-11-20 21:30:53 (1844331645249) STATS - SET, 25.5, 2
