ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),Get MissRatio
0:1,64,1,3,2,1,414.80,2.41,0.00
0:1,64,1,3,2,2,327.28,3.05,0.00
0:1,64,1,3,3,1,476.84,2.09,0.00
0:1,64,1,3,3,2,365.00,2.73,0.00
0:1,64,4,1,1,1,531.04,7.52,0.00
0:1,64,4,1,1,2,437.26,9.14,0.00
0:1,64,4,1,2,1,509.90,7.84,0.00
0:1,64,4,1,2,2,440.12,9.08,0.00
0:1,64,4,1,3,1,559.28,7.14,0.00
0:1,64,4,1,3,2,450.26,8.87,0.00
0:1,64,4,2,1,1,486.14,8.21,0.00
0:1,64,4,2,1,2,466.52,8.56,0.00
0:1,64,4,2,2,1,499.20,8.00,0.00
0:1,64,4,2,2,2,474.98,8.41,0.00
0:1,64,4,2,3,1,502.70,7.94,0.00
0:1,64,4,2,3,2,496.50,8.04,0.00
0:1,64,4,3,1,1,495.78,8.05,0.00
0:1,64,4,3,1,2,460.68,8.66,0.00
0:1,64,4,3,2,1,491.98,8.12,0.00
0:1,64,4,3,2,2,469.82,8.50,0.00
0:1,64,4,3,3,1,518.04,7.71,0.00
0:1,64,4,3,3,2,493.22,8.09,0.00
0:1,64,8,1,1,1,485.44,16.44,0.00
0:1,64,8,1,1,2,489.72,16.30,0.00
0:1,64,8,1,2,1,484.94,16.46,0.00
0:1,64,8,1,2,2,488.70,16.33,0.00
0:1,64,8,1,3,1,487.14,16.38,0.00
0:1,64,8,1,3,2,492.20,16.22,0.00
0:1,64,8,2,1,1,485.92,16.42,0.00
0:1,64,8,2,1,2,487.36,16.35,0.00
0:1,64,8,2,2,1,485.38,16.45,0.00
0:1,64,8,2,2,2,484.24,16.49,0.00
0:1,64,8,2,3,1,491.64,16.24,0.00
0:1,64,8,2,3,2,491.78,16.23,0.00
0:1,64,8,3,1,1,482.62,16.54,0.00
0:1,64,8,3,1,2,492.04,16.22,0.00
0:1,64,8,3,2,1,484.34,16.48,0.00
0:1,64,8,3,2,2,489.96,16.30,0.00
0:1,64,8,3,3,1,487.32,16.38,0.00
0:1,64,8,3,3,2,495.12,16.12,0.00
0:1,64,16,1,1,1,495.78,32.30,0.00
0:1,64,16,1,1,2,480.26,33.30,0.00
0:1,64,16,1,2,1,496.20,32.21,0.00
