2018-11-20 14:30:27 (7500760223358) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-20 14:31:52 (7586074493317) STATS -  5.00, 1481, 53, 39.340930, 20.231977, 59.842740, 0.000000, 59.842740, 0.000000, 0, 7406, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586983687785) STATS - GET, 13.0, 4
2018-11-20 14:31:53 (7586983761886) STATS - GET, 13.1, 2
2018-11-20 14:31:53 (7586990434302) STATS - GET, 13.2, 4
2018-11-20 14:31:53 (7586990521402) STATS - GET, 13.3, 2
2018-11-20 14:31:53 (7586990597103) STATS - GET, 13.4, 2
2018-11-20 14:31:53 (7586990669103) STATS - GET, 13.5, 5
2018-11-20 14:31:53 (7586990743203) STATS - GET, 13.6, 2
2018-11-20 14:31:53 (7586990815203) STATS - GET, 13.7, 1
2018-11-20 14:31:53 (7586990886703) STATS - GET, 13.8, 4
2018-11-20 14:31:53 (7586990959704) STATS - GET, 13.9, 3
2018-11-20 14:31:53 (7586991028604) STATS - GET, 14.0, 3
2018-11-20 14:31:53 (7586998140221) STATS - GET, 14.1, 3
2018-11-20 14:31:53 (7586998225222) STATS - GET, 14.2, 2
2018-11-20 14:31:53 (7586998297022) STATS - GET, 14.3, 4
2018-11-20 14:31:53 (7586998371622) STATS - GET, 14.4, 4
2018-11-20 14:31:53 (7586998442422) STATS - GET, 14.5, 5
2018-11-20 14:31:53 (7586998512422) STATS - GET, 14.6, 3
2018-11-20 14:31:53 (7586998582423) STATS - GET, 14.7, 2
2018-11-20 14:31:53 (7586998652723) STATS - GET, 14.8, 5
2018-11-20 14:31:53 (7586998722623) STATS - GET, 14.9, 1
2018-11-20 14:31:53 (7586998789623) STATS - GET, 15.0, 4
2018-11-20 14:31:53 (7586998890023) STATS - GET, 15.1, 5
2018-11-20 14:31:53 (7586998962323) STATS - GET, 15.2, 1
2018-11-20 14:31:53 (7586999033124) STATS - GET, 15.3, 3
2018-11-20 14:31:53 (7586999103824) STATS - GET, 15.4, 0
2018-11-20 14:31:53 (7586999226624) STATS - GET, 15.5, 1
2018-11-20 14:31:53 (7586999301124) STATS - GET, 15.6, 0
2018-11-20 14:31:53 (7586999372225) STATS - GET, 15.7, 0
2018-11-20 14:31:53 (7586999464825) STATS - GET, 15.8, 0
2018-11-20 14:31:53 (7586999538125) STATS - GET, 15.9, 0
2018-11-20 14:31:53 (7586999605925) STATS - GET, 16.0, 0
2018-11-20 14:31:53 (7586999696725) STATS - GET, 16.1, 0
2018-11-20 14:31:53 (7586999767725) STATS - GET, 16.2, 1
2018-11-20 14:31:53 (7586999837526) STATS - GET, 16.3, 0
2018-11-20 14:31:53 (7586999944026) STATS - GET, 16.4, 1
2018-11-20 14:31:53 (7587000046226) STATS - GET, 16.5, 1
2018-11-20 14:31:53 (7587000142826) STATS - GET, 16.6, 0
2018-11-20 14:31:53 (7587000217127) STATS - GET, 16.7, 0
2018-11-20 14:31:53 (7587000306427) STATS - GET, 16.8, 1
2018-11-20 14:31:53 (7587000394827) STATS - GET, 16.9, 2
2018-11-20 14:31:53 (7587000466027) STATS - GET, 17.0, 2
2018-11-20 14:31:53 (7587000574828) STATS - GET, 17.1, 2
2018-11-20 14:31:53 (7587000648028) STATS - GET, 17.2, 2
2018-11-20 14:31:53 (7587000715328) STATS - GET, 17.3, 1
2018-11-20 14:31:53 (7587000782928) STATS - GET, 17.4, 1
2018-11-20 14:31:53 (7587000849828) STATS - GET, 17.5, 2
2018-11-20 14:31:53 (7587007848246) STATS - GET, 17.6, 3
2018-11-20 14:31:53 (7587007925646) STATS - GET, 17.7, 5
2018-11-20 14:31:53 (7587007989846) STATS - GET, 17.8, 0
2018-11-20 14:31:53 (7587008069146) STATS - GET, 17.9, 2
2018-11-20 14:31:53 (7587008133346) STATS - GET, 18.0, 3
2018-11-20 14:31:53 (7587008197747) STATS - GET, 18.1, 0
2018-11-20 14:31:53 (7587008262247) STATS - GET, 18.2, 3
2018-11-20 14:31:53 (7587008326147) STATS - GET, 18.3, 1
2018-11-20 14:31:53 (7587008390947) STATS - GET, 18.4, 1
2018-11-20 14:31:53 (7587008455447) STATS - GET, 18.5, 4
2018-11-20 14:31:53 (7587008519447) STATS - GET, 18.6, 1
2018-11-20 14:31:53 (7587008583647) STATS - GET, 18.7, 0
2018-11-20 14:31:53 (7587008649348) STATS - GET, 18.8, 1
2018-11-20 14:31:53 (7587008714748) STATS - GET, 18.9, 2
2018-11-20 14:31:53 (7587008778848) STATS - GET, 19.0, 2
2018-11-20 14:31:53 (7587008842348) STATS - GET, 19.1, 4
2018-11-20 14:31:53 (7587008907648) STATS - GET, 19.2, 2
2018-11-20 14:31:53 (7587008972348) STATS - GET, 19.3, 0
2018-11-20 14:31:53 (7587009036649) STATS - GET, 19.4, 6
2018-11-20 14:31:53 (7587009103249) STATS - GET, 19.5, 3
2018-11-20 14:31:53 (7587009167749) STATS - GET, 19.6, 3
2018-11-20 14:31:53 (7587009234349) STATS - GET, 19.7, 2
2018-11-20 14:31:53 (7587009298149) STATS - GET, 19.8, 2
2018-11-20 14:31:53 (7587009362149) STATS - GET, 19.9, 1
2018-11-20 14:31:53 (7587009425350) STATS - GET, 20.0, 2
2018-11-20 14:31:53 (7587009489250) STATS - GET, 20.1, 4
2018-11-20 14:31:53 (7587009553250) STATS - GET, 20.2, 2
2018-11-20 14:31:53 (7587009617950) STATS - GET, 20.3, 4
2018-11-20 14:31:53 (7587009683750) STATS - GET, 20.4, 2
2018-11-20 14:31:53 (7587009748050) STATS - GET, 20.5, 1
2018-11-20 14:31:53 (7587009811951) STATS - GET, 20.6, 2
2018-11-20 14:31:53 (7587009876551) STATS - GET, 20.7, 1
2018-11-20 14:31:53 (7587009942651) STATS - GET, 20.8, 4
2018-11-20 14:31:53 (7587010007451) STATS - GET, 20.9, 4
2018-11-20 14:31:53 (7587010068851) STATS - GET, 21.0, 2
2018-11-20 14:31:53 (7587010133151) STATS - GET, 21.1, 2
2018-11-20 14:31:53 (7587010198752) STATS - GET, 21.2, 4
2018-11-20 14:31:53 (7587010266052) STATS - GET, 21.3, 5
2018-11-20 14:31:53 (7587010330752) STATS - GET, 21.4, 2
2018-11-20 14:31:53 (7587010394952) STATS - GET, 21.5, 3
2018-11-20 14:31:53 (7587010460552) STATS - GET, 21.6, 3
2018-11-20 14:31:53 (7587010525652) STATS - GET, 21.7, 3
2018-11-20 14:31:53 (7587010589652) STATS - GET, 21.8, 0
2018-11-20 14:31:53 (7587010654153) STATS - GET, 21.9, 4
2018-11-20 14:31:53 (7587017604870) STATS - GET, 22.0, 1
2018-11-20 14:31:53 (7587017701670) STATS - GET, 22.1, 2
2018-11-20 14:31:53 (7587017766470) STATS - GET, 22.2, 2
2018-11-20 14:31:53 (7587017832771) STATS - GET, 22.3, 0
2018-11-20 14:31:53 (7587017941471) STATS - GET, 22.4, 2
2018-11-20 14:31:53 (7587018010371) STATS - GET, 22.5, 0
2018-11-20 14:31:53 (7587018072871) STATS - GET, 22.6, 1
2018-11-20 14:31:53 (7587018154971) STATS - GET, 22.7, 0
2018-11-20 14:31:53 (7587018224072) STATS - GET, 22.8, 1
2018-11-20 14:31:53 (7587018307772) STATS - GET, 22.9, 2
2018-11-20 14:31:53 (7587018368372) STATS - GET, 23.0, 1
2018-11-20 14:31:53 (7587018432972) STATS - GET, 23.1, 3
2018-11-20 14:31:53 (7587018494872) STATS - GET, 23.2, 0
2018-11-20 14:31:53 (7587018577372) STATS - GET, 23.3, 0
2018-11-20 14:31:53 (7587018641873) STATS - GET, 23.4, 2
2018-11-20 14:31:53 (7587018738773) STATS - GET, 23.5, 1
2018-11-20 14:31:53 (7587018838473) STATS - GET, 23.6, 4
2018-11-20 14:31:53 (7587018904773) STATS - GET, 23.7, 0
2018-11-20 14:31:53 (7587018970273) STATS - GET, 23.8, 0
2018-11-20 14:31:53 (7587019045274) STATS - GET, 23.9, 2
2018-11-20 14:31:53 (7587019161874) STATS - GET, 24.0, 3
2018-11-20 14:31:53 (7587019320874) STATS - GET, 24.1, 0
2018-11-20 14:31:53 (7587019387274) STATS - GET, 24.2, 0
2018-11-20 14:31:53 (7587019451575) STATS - GET, 24.3, 1
2018-11-20 14:31:53 (7587019535575) STATS - GET, 24.4, 1
2018-11-20 14:31:53 (7587019604175) STATS - GET, 24.5, 2
2018-11-20 14:31:53 (7587019667675) STATS - GET, 24.6, 3
2018-11-20 14:31:53 (7587019731975) STATS - GET, 24.7, 6
2018-11-20 14:31:53 (7587019843976) STATS - GET, 24.8, 0
2018-11-20 14:31:53 (7587019911576) STATS - GET, 24.9, 2
2018-11-20 14:31:53 (7587019972676) STATS - GET, 25.0, 1
2018-11-20 14:31:53 (7587020067376) STATS - GET, 25.1, 2
2018-11-20 14:31:53 (7587020132476) STATS - GET, 25.2, 1
2018-11-20 14:31:53 (7587020194576) STATS - GET, 25.3, 1
2018-11-20 14:31:53 (7587020257677) STATS - GET, 25.4, 3
2018-11-20 14:31:53 (7587020323177) STATS - GET, 25.5, 2
2018-11-20 14:31:53 (7587020389577) STATS - GET, 25.6, 3
2018-11-20 14:31:53 (7587020453077) STATS - GET, 25.7, 3
2018-11-20 14:31:53 (7587027401994) STATS - GET, 25.8, 1
2018-11-20 14:31:53 (7587027508095) STATS - GET, 25.9, 4
2018-11-20 14:31:53 (7587027593495) STATS - GET, 26.0, 4
2018-11-20 14:31:53 (7587028250997) STATS - GET, 26.1, 1
2018-11-20 14:31:53 (7587028334697) STATS - GET, 26.2, 2
2018-11-20 14:31:53 (7587028514997) STATS - GET, 26.3, 1
2018-11-20 14:31:53 (7587028584097) STATS - GET, 26.4, 3
2018-11-20 14:31:53 (7587028645798) STATS - GET, 26.5, 2
2018-11-20 14:31:53 (7587028708698) STATS - GET, 26.6, 0
2018-11-20 14:31:53 (7587028799098) STATS - GET, 26.7, 4
2018-11-20 14:31:53 (7587028862698) STATS - GET, 26.8, 2
2018-11-20 14:31:53 (7587028924198) STATS - GET, 26.9, 2
2018-11-20 14:31:53 (7587028982198) STATS - GET, 27.0, 2
2018-11-20 14:31:53 (7587029042199) STATS - GET, 27.1, 0
2018-11-20 14:31:53 (7587029104599) STATS - GET, 27.2, 2
2018-11-20 14:31:53 (7587029164699) STATS - GET, 27.3, 3
2018-11-20 14:31:53 (7587029225099) STATS - GET, 27.4, 0
2018-11-20 14:31:53 (7587029285799) STATS - GET, 27.5, 2
2018-11-20 14:31:53 (7587029345999) STATS - GET, 27.6, 2
2018-11-20 14:31:53 (7587029407499) STATS - GET, 27.7, 1
2018-11-20 14:31:53 (7587029468500) STATS - GET, 27.8, 3
2018-11-20 14:31:53 (7587029530200) STATS - GET, 27.9, 7
2018-11-20 14:31:53 (7587029588600) STATS - GET, 28.0, 2
2018-11-20 14:31:53 (7587029649400) STATS - GET, 28.1, 8
2018-11-20 14:31:53 (7587029710600) STATS - GET, 28.2, 5
2018-11-20 14:31:53 (7587029770900) STATS - GET, 28.3, 3
2018-11-20 14:31:53 (7587029831801) STATS - GET, 28.4, 2
2018-11-20 14:31:53 (7587029892101) STATS - GET, 28.5, 3
2018-11-20 14:31:53 (7587029951501) STATS - GET, 28.6, 7
2018-11-20 14:31:53 (7587030011601) STATS - GET, 28.7, 1
2018-11-20 14:31:53 (7587030071701) STATS - GET, 28.8, 0
2018-11-20 14:31:53 (7587030131901) STATS - GET, 28.9, 5
2018-11-20 14:31:53 (7587030190501) STATS - GET, 29.0, 4
2018-11-20 14:31:53 (7587030274402) STATS - GET, 29.1, 4
2018-11-20 14:31:53 (7587030340802) STATS - GET, 29.2, 3
2018-11-20 14:31:53 (7587030400602) STATS - GET, 29.3, 2
2018-11-20 14:31:53 (7587030460102) STATS - GET, 29.4, 6
2018-11-20 14:31:53 (7587030522102) STATS - GET, 29.5, 2
2018-11-20 14:31:53 (7587030581602) STATS - GET, 29.6, 7
2018-11-20 14:31:53 (7587030641803) STATS - GET, 29.7, 4
2018-11-20 14:31:53 (7587030700703) STATS - GET, 29.8, 4
2018-11-20 14:31:53 (7587030760903) STATS - GET, 29.9, 6
2018-11-20 14:31:53 (7587030819203) STATS - GET, 30.0, 2
2018-11-20 14:31:53 (7587030879003) STATS - GET, 30.1, 3
2018-11-20 14:31:53 (7587030939703) STATS - GET, 30.2, 2
2018-11-20 14:31:53 (7587037982421) STATS - GET, 30.3, 4
2018-11-20 14:31:53 (7587038062221) STATS - GET, 30.4, 2
2018-11-20 14:31:53 (7587038138521) STATS - GET, 30.5, 4
2018-11-20 14:31:53 (7587038197021) STATS - GET, 30.6, 11
2018-11-20 14:31:53 (7587038255222) STATS - GET, 30.7, 6
2018-11-20 14:31:53 (7587038315522) STATS - GET, 30.8, 4
2018-11-20 14:31:53 (7587038373722) STATS - GET, 30.9, 5
2018-11-20 14:31:53 (7587038429022) STATS - GET, 31.0, 7
2018-11-20 14:31:53 (7587038486522) STATS - GET, 31.1, 4
2018-11-20 14:31:53 (7587038548222) STATS - GET, 31.2, 6
2018-11-20 14:31:53 (7587038607022) STATS - GET, 31.3, 3
2018-11-20 14:31:53 (7587038665123) STATS - GET, 31.4, 4
2018-11-20 14:31:53 (7587038722923) STATS - GET, 31.5, 1
2018-11-20 14:31:53 (7587038780123) STATS - GET, 31.6, 6
2018-11-20 14:31:53 (7587038837823) STATS - GET, 31.7, 3
2018-11-20 14:31:53 (7587038896023) STATS - GET, 31.8, 3
2018-11-20 14:31:53 (7587038953623) STATS - GET, 31.9, 3
2018-11-20 14:31:53 (7587039009023) STATS - GET, 32.0, 6
2018-11-20 14:31:53 (7587039066324) STATS - GET, 32.1, 2
2018-11-20 14:31:53 (7587039123824) STATS - GET, 32.2, 2
2018-11-20 14:31:53 (7587039181724) STATS - GET, 32.3, 5
2018-11-20 14:31:53 (7587039239424) STATS - GET, 32.4, 1
2018-11-20 14:31:53 (7587039296724) STATS - GET, 32.5, 10
2018-11-20 14:31:53 (7587039353924) STATS - GET, 32.6, 6
2018-11-20 14:31:53 (7587039411524) STATS - GET, 32.7, 6
2018-11-20 14:31:53 (7587039469125) STATS - GET, 32.8, 3
2018-11-20 14:31:53 (7587039527225) STATS - GET, 32.9, 0
2018-11-20 14:31:53 (7587039583625) STATS - GET, 33.0, 0
2018-11-20 14:31:53 (7587039641025) STATS - GET, 33.1, 1
2018-11-20 14:31:53 (7587039699925) STATS - GET, 33.2, 1
2018-11-20 14:31:53 (7587039758925) STATS - GET, 33.3, 0
2018-11-20 14:31:53 (7587039817525) STATS - GET, 33.4, 1
2018-11-20 14:31:53 (7587039875426) STATS - GET, 33.5, 1
2018-11-20 14:31:53 (7587039935926) STATS - GET, 33.6, 2
2018-11-20 14:31:53 (7587039993526) STATS - GET, 33.7, 12
2018-11-20 14:31:53 (7587040070026) STATS - GET, 33.8, 4
2018-11-20 14:31:53 (7587040129126) STATS - GET, 33.9, 7
2018-11-20 14:31:53 (7587040187026) STATS - GET, 34.0, 7
2018-11-20 14:31:53 (7587040245226) STATS - GET, 34.1, 5
2018-11-20 14:31:53 (7587040302527) STATS - GET, 34.2, 8
2018-11-20 14:31:53 (7587040360127) STATS - GET, 34.3, 9
2018-11-20 14:31:53 (7587040418227) STATS - GET, 34.4, 14
